0000021101000005        75065072  INEO SPRL                 BBRUBEBB   00453917339 00000                                       2
10001360104228526 EUR0BE   0030000        0000000000000000201010INEO SPRL                 compte a vue                       001
2100010000EQU2309828173001529  000000000031936000000000150000 FACT 201000005 du 01/10/2010                         201010000010 0
2300010000BE85732313160006                     NERI SA                                                                       0 1
3100010001EQU2309828173001529  001500000NERI SA                                                                              1 0
3200010001Rue de la Croix, 44                5000    NAMUR                                                                   0 1
3100010002EQU2309828173001529  001500000Ordre de paiement : Donneur d'ordre : IBAN : BE85732313160006 DUPOND SA              0 1
3100010003EQU2309828173001528  001500000CHAUSSEE DE LIEGE 13                                                                 0 1
3100010004EQU2309828173001528  001500000                                                                                     0 0
2100020000EQU2309828274001528  100000000074370009051100150000                                                      09051118401 0
2300020000BE59360104228526                     Claudio & Carlalberto                                                         0 1
3100020001EQU2309828274001528  001500001001Claudio & Carlalberto                                                             1 0
3200020001ROCHENDAAL 37                                                                                                      0 1
3100020002EQU2309828274001527  001500000Ordre de paiement : Donneur d'ordre : IBAN : BE59360104228526 DURAND BVB             0 1
3100020003EQU2309828274001527  001500000A ROCHENDAAL 37                                                                      0 1
3100020004EQU2309828274001527  001500000 3800 SINT-TRUIDEN Communication: 010100000112                                       0 0
21000300003402461205537001527  0000000000217800090511001500001102010100000112010/1000/00112                        09051118401 0
2300030000360105527922                         David Dahan                                                                   0 1
31000300013402461205537001527  001500001001David Dahan                                                                       1 0
3200030001RUE HAUTE 123             1457 WALHAIN                                                                             0 0
22000700001                                                                                                                  0 0
8184360104228526 EUR0BE   0030000        0000000121664730090511                                                                0
9               000043000000000652820000000002326230                                                                           2
